Sample,GRF_real,GRF_predito,Resíduo
1,0,19.46245,-19.46245
2,200.706487606285,24.56996,176.1365
3,417.490927483535,181.3984,236.0925
4,472.539111435779,600.6706,-128.1315
5,304.650761681835,357.8914,-53.24063
6,229.399889825309,630.6484,-401.2485
7,0,-8.366102,8.366102
8,0,-7.427443,7.427443
9,0,-0.4472179,0.4472179
10,0,13.407,-13.407
11,445.745624642064,456.2995,-10.55387
12,443.815438394477,456.5003,-12.6849
13,435.900327165299,452.1646,-16.26422
14,387.489772496755,392.7285,-5.238774
15,391.085424134719,407.6839,-16.59851
16,474.569175850951,437.7686,36.80053
17,510.84283906727,455.4973,55.34555
18,434.448710258805,396.4165,38.03218
19,6.61593148470706,100.1944,-93.57848
20,0,-10.38029,10.38029
21,0,-8.058363,8.058363
22,0,11.47511,-11.47511
23,0,10.77571,-10.77571
24,407.891384569164,329.8433,78.04807
25,416.460177257145,397.3316,19.12854
26,437.592616944585,433.5753,4.01733
27,425.611598623896,439.5949,-13.98331
28,429.425344726782,452.429,-23.00364
29,478.902278124049,444.7875,34.1148
30,473.261114522641,449.9614,23.29975
31,441.677068107407,598.7078,-157.0307
32,121.183540234187,558.8277,-437.6442
33,0,-5.966688,5.966688
34,0,-5.491926,5.491926
35,95.7770235852603,17.64449,78.13254
36,225.955231727912,24.25179,201.7034
37,323.587065068844,53.81853,269.7685
38,380.241453232084,248.0535,132.1879
39,402.355749898128,319.7634,82.59232
40,449.223515553344,394.1081,55.11539
41,405,464.3175,-59.31754
42,403.428610385566,437.1564,-33.72782
43,438.957148242913,416.444,22.51315
44,499.410735063365,540.1954,-40.78464
45,470.562456888007,597.0413,-126.4788
46,256.202949578432,539.7297,-283.5268
47,81.9187498259899,488.0549,-406.1361
48,23.9018233463406,282.8234,-258.9216
49,0,-8.831282,8.831282
50,0,-7.337629,7.337629
51,0,10.10579,-10.10579
52,0,12.178,-12.178
53,0,12.32738,-12.32738
54,0.0235665261841405,13.57732,-13.55375
55,91.9051436695607,16.64903,75.25611
56,344.299231986547,27.8228,316.4764
57,384,408.2575,-24.25754
58,447.840060956987,514.2713,-66.43124
59,421.886911703196,432.19,-10.30309
60,23.6632367234709,290.3213,-266.6581
61,0,1.143511,-1.143511
62,0,-7.586103,7.586103
63,0,-7.125196,7.125196
64,0,0.2077504,-0.2077504
65,8.17415491559944,18.2592,-10.08505
66,382.533151447455,160.4049,222.1283
67,392.425561743745,255.0803,137.3453
68,405.072124980745,450.3538,-45.2817
69,402.531995629275,473.4109,-70.87889
70,385.004541692589,466.6724,-81.66788
71,395.224408292886,451.7453,-56.52089
72,487.665047261227,529.1478,-41.48278
73,292.328819329617,281.7511,10.57769
74,217.223781238126,431.5816,-214.3578
75,101.324328046276,280.2313,-178.9069
76,0,8.5963,-8.5963
77,0,-4.333113,4.333113
78,0,11.64763,-11.64763
79,322.393979456767,25.54994,296.844
80,361.486259388433,41.46001,320.0262
81,386.612996316492,238.4934,148.1196
82,437.791066117536,435.8564,1.934712
83,411.645532265214,447.5465,-35.90101
84,447.582176966977,424.4902,23.09197
85,478.267614350402,446.0362,32.23142
86,499.102048170192,550.4379,-51.33582
87,474.219671409563,514.2787,-40.05907
88,443.357082342967,381.9437,61.41342
89,29.3180162664576,385.0626,-355.7446
90,4.98413344664726,139.0363,-134.0522
91,0,-6.91844,6.91844
92,0,-7.52043,7.52043
93,0,4.023455,-4.023455
94,0,6.285051,-6.285051
95,0,8.257708,-8.257708
96,0.0354404082073643,19.10573,-19.07029
97,478.417652777177,521.3772,-42.95955
98,473.595984234628,503.8252,-30.22921
99,474.664100685945,493.7165,-19.05236
100,449.146683730701,506.9519,-57.80525
101,453.733058870265,531.0177,-77.28465
102,223.330878998703,227.631,-4.300133
103,99.9824531279902,44.36003,55.62242
104,38.2092593338936,15.99596,22.2133
105,4.26056328471986,-4.408522,8.669085
106,0.53149827139049,-0.4559154,0.9874136
107,5,10.82558,-5.825579
108,3.4828525435795,54.69832,-51.21547
109,178.550073603278,160.3373,18.21279
110,473.074653953477,506.8583,-33.78362
111,493.238208054242,529.4827,-36.24452
112,473.813781189398,522.731,-48.91718
113,436.195164185205,482.8729,-46.6777
114,425.115614654694,458.0739,-32.9583
115,428.937675667084,453.3815,-24.44379
116,407.157456583869,422.6517,-15.49422
117,346.500376789021,368.0486,-21.54824
118,203.641101411992,233.9791,-30.33804
119,15.8814603127583,5.881243,10.00022
120,4.89386069257353,-12.70515,17.59901
121,1.02725022553108,-9.212202,10.23945
122,2,8.361895,-6.361895
123,0,8.327074,-8.327074
124,221.670601049194,239.1268,-17.45617
125,425.025439572695,452.2854,-27.25999
126,425.022837619183,420.2314,4.791392
127,403.952081367644,425.8824,-21.9303
128,457.486734919696,451.3653,6.12147
129,475.355521414102,449.5425,25.81301
130,224.488308261667,250.3684,-25.88008
131,101.227101645405,100.402,0.825063
132,6.58597194234574,-11.30375,17.88973
133,0.418374089373856,-13.46168,13.88006
134,3.39008364339065,7.121355,-3.731272
135,0.515831415882928,10.0425,-9.526667
136,4.80286094605151,10.89144,-6.088575
137,6.48048878662996,13.11217,-6.63168
138,189.981499400619,102.6654,87.31614
139,466.057703886703,487.9796,-21.92185
140,421.916700016122,440.2201,-18.30342
141,385.261656500111,446.6758,-61.41409
142,389.475258652341,415.3636,-25.88839
143,481.262080570986,424.9536,56.3085
144,248.286424400325,243.3222,4.964266
145,118.953826502701,99.31786,19.63597
146,53.5567855350878,24.93205,28.62473
147,18.2410477590274,10.91829,7.322757
148,4.97834733527151,-10.35515,15.33349
149,0,-12.47047,12.47047
