Sample,GRF_real,GRF_predito,Resíduo
1,0,69.44873,-69.44873
2,417.490927483535,224.9218,192.5691
3,444.913813285081,357.0372,87.87658
4,410.489335853313,378.9694,31.51991
5,472.539111435779,484.6001,-12.06096
6,444.358020038216,485.9576,-41.59962
7,18.7770763381899,318.4927,-299.7156
8,1.59526072567451,242.3195,-240.7242
9,0,130.1843,-130.1843
10,0,88.95961,-88.95961
11,1.39554620975809,87.55917,-86.16363
12,0,77.13603,-77.13603
13,0,67.37999,-67.37999
14,358.324573331319,201.7705,156.5541
15,438.517326123843,376.6278,61.88952
16,396.224957948794,362.7577,33.46724
17,379.237764088387,339.4703,39.76743
18,449.264630803594,409.0389,40.22575
19,474.569175850951,397.7946,76.77459
20,83.2228569001013,322.4739,-239.251
21,11.1272725974976,219.7073,-208.58
22,0.582032134728308,167.7189,-167.1368
23,0,94.51216,-94.51216
24,0,71.68022,-71.68022
25,419.231387091764,366.2004,53.03101
26,467.545241806498,402.5926,64.95265
27,478.902278124049,424.5326,54.36972
28,512.719952155076,451.0207,61.69929
29,121.183540234187,382.5692,-261.3857
30,0.0662782602286143,111.8341,-111.7678
31,0,53.60604,-53.60604
32,0,39.28142,-39.28142
33,0,39.13817,-39.13817
34,0,35.30001,-35.30001
35,95.7770235852603,44.85378,50.92324
36,225.955231727912,82.8343,143.1209
37,366.204559303326,206.0904,160.1142
38,449.223515553344,375.1238,74.09971
39,423.869501251795,402.46,21.40948
40,408.183283740654,418.4885,-10.30518
41,458.969848724844,432.9726,25.99728
42,507.136374664183,440.499,66.63738
43,256.202949578432,400.8598,-144.6568
44,10.5610486876466,255.9429,-245.3819
45,0,104.4893,-104.4893
46,0,89.8275,-89.8275
47,378.371899493619,200.911,177.4609
48,450.860811615629,362.1006,88.76022
49,417.683415020879,358.775,58.90842
50,376.018492946785,378.9815,-2.962983
51,381.929267459518,355.8222,26.10703
52,476.570541012116,405.5206,71.04991
53,467.984072000122,424.5922,43.39191
54,23.6632367234709,338.4872,-314.8239
55,0,244.0843,-244.0843
56,0,104.1777,-104.1777
57,0,60.93952,-60.93952
58,365.984801241461,184.9665,181.0183
59,382.533151447455,208.3481,174.185
60,392.425561743745,255.4415,136.9841
61,393.983175995751,292.6925,101.2907
62,434.283735194255,380.6299,53.65382
63,368.556376893274,364.6303,3.926067
64,456.441032461084,455.9998,0.4412766
65,490.773790599225,471.5041,19.26973
66,8.94233642859774,236.6444,-227.702
67,0,120.2859,-120.2859
68,0,97.17032,-97.17032
69,0,77.22472,-77.22472
70,0,73.29462,-73.29462
71,9.81685843726154e-11,86.69505,-86.69505
72,449.42179749328,432.7488,16.67302
73,462.13209546476,395.7069,66.42519
74,451.49537087388,410.8427,40.65269
75,411.645532265214,360.7394,50.90612
76,447.582176966977,417.7194,29.86279
77,462.59212998806,405.4017,57.19043
